wavelength_nm,TIS_s0.1_N1,TIS_s0.1_N4,TIS_s0.1_N7,TIS_s0.2_N1,TIS_s0.2_N4,TIS_s0.2_N7,TIS_s0.3_N1,TIS_s0.3_N4,TIS_s0.3_N7,TIS_s0.4_N1,TIS_s0.4_N4,TIS_s0.4_N7
2,0.323261731,0.790259188,0.934995241,0.790259188,0.998064774,0.999982144,0.970229466,0.999999214,1,0.998064774,1,1
2.1,0.298243234,0.757480628,0.916187989,0.757480628,0.99654072,0.999950657,0.958725723,0.999997098,1,0.99654072,1,1
2.2,0.275811127,0.724952696,0.895536894,0.724952696,0.994276923,0.999880916,0.945214374,0.999990991,0.999999999,0.994276923,0.999999999,1
2.3,0.255655963,0.693030764,0.873405163,0.693030764,0.991120686,0.999743159,0.929860378,0.999975798,0.999999992,0.991120686,0.999999994,1
2.4,0.237505664,0.661976815,0.850150135,0.661976815,0.986944727,0.999495774,0.912877646,0.999942387,0.999999962,0.986944727,0.999999971,1
2.5,0.221122298,0.631975201,0.82610588,0.631975201,0.981655396,0.999085593,0.894507049,0.999876151,0.999999855,0.981655396,0.999999887,1
2.6,0.206298428,0.603147646,0.801573039,0.603147646,0.975196336,0.998449746,0.874998518,0.999755848,0.999999523,0.975196336,0.999999622,1
2.7,0.192853454,0.575566581,0.776814102,0.575566581,0.967548238,0.99751877,0.854597613,0.999553022,0.999998626,0.967548238,0.999998891,1
2.8,0.180630173,0.549266467,0.752052478,0.549266467,0.958725723,0.996220459,0.833536238,0.999232146,0.999996458,0.958725723,0.999997098,1
2.9,0.169491678,0.524253114,0.727474014,0.524253114,0.948772423,0.994483906,0.812026816,0.998751514,0.999991708,0.948772423,0.999993113,0.999999999
3,0.159318601,0.500511202,0.703229952,0.500511202,0.937755209,0.992243241,0.790259188,0.998064774,0.999982144,0.937755209,0.999984989,0.999999996
3.1,0.150006707,0.478010226,0.679440618,0.478010226,0.925758287,0.989440728,0.768399502,0.99712288,0.999964258,0.925758287,0.99996962,0.999999988
3.2,0.141464812,0.456709138,0.656199345,0.456709138,0.912877646,0.986029022,0.746590495,0.995876257,0.999932894,0.912877646,0.999942387,0.999999962
3.3,0.133612989,0.43655993,0.633576324,0.43655993,0.899216156,0.981972558,0.724952696,0.994276923,0.999880916,0.899216156,0.999896828,0.999999894
3.4,0.126381034,0.417510346,0.611622217,0.417510346,0.884879448,0.977248108,0.703586154,0.992280415,0.999798957,0.884879448,0.999824365,0.999999732
3.5,0.11970714,0.399505939,0.590371416,0.399505939,0.869972604,0.971844645,0.682572454,0.989847373,0.999675278,0.869972604,0.999714149,0.999999372
3.6,0.11353678,0.38249158,0.569844929,0.38249158,0.854597613,0.965762646,0.661976815,0.986944727,0.999495774,0.854597613,0.999553022,0.999998626
3.7,0.107821734,0.366412562,0.55005288,0.366412562,0.838851513,0.959013021,0.641850165,0.983546473,0.999244119,0.838851513,0.99932562,0.999997178
3.8,0.102519266,0.351215391,0.530996653,0.351215391,0.822825117,0.951615777,0.622231091,0.979634042,0.998902048,0.822825117,0.999014609,0.99999452
3.9,0.097591416,0.336848324,0.512670698,0.336848324,0.806602219,0.943598572,0.603147646,0.975196336,0.998449746,0.806602219,0.998601038,0.99998988
4,0.093004392,0.323261731,0.495064055,0.323261731,0.790259188,0.934995241,0.584618973,0.970229466,0.997866333,0.790259188,0.998064774,0.999982144
4.1,0.088728047,0.310408316,0.478161609,0.310408316,0.773864856,0.925844374,0.566656752,0.964736279,0.997130381,0.773864856,0.997384997,0.99996976
4.2,0.084735428,0.298243234,0.461945132,0.298243234,0.757480628,0.916187989,0.549266467,0.958725723,0.996220459,0.757480628,0.99654072,0.999950657
4.3,0.081002387,0.286724129,0.446394136,0.286724129,0.741160752,0.906070345,0.532448507,0.952212117,0.995115657,0.741160752,0.995511301,0.999922159
4.4,0.077507249,0.275811127,0.431486563,0.275811127,0.724952696,0.895536894,0.516199116,0.945214374,0.993796074,0.724952696,0.994276923,0.999880916
4.5,0.074230515,0.265466774,0.417199347,0.265466774,0.708897602,0.884633393,0.500511202,0.937755209,0.992243241,0.708897602,0.99281903,0.999822858
4.6,0.071154613,0.255655963,0.403508858,0.255655963,0.693030764,0.873405163,0.485375029,0.929860378,0.990440482,0.693030764,0.991120686,0.999743159
4.7,0.068263678,0.246345834,0.390391264,0.246345834,0.677382133,0.861896486,0.470778799,0.92155795,0.988373188,0.677382133,0.989166877,0.999636237
4.8,0.065543357,0.237505664,0.377822805,0.237505664,0.661976815,0.850150135,0.456709138,0.912877646,0.986029022,0.661976815,0.986944727,0.999495774
4.9,0.062980647,0.22910675,0.365780012,0.22910675,0.646835557,0.83820701,0.443151509,0.903850244,0.983398041,0.646835557,0.984443643,0.999314766
5,0.060563742,0.221122298,0.354239875,0.221122298,0.631975201,0.82610588,0.430090548,0.894507049,0.980472753,0.631975201,0.981655396,0.999085593
5.1,0.05828191,0.213527301,0.343179967,0.213527301,0.617409126,0.813883207,0.417510346,0.884879448,0.977248108,0.617409126,0.978574132,0.998800108
5.2,0.056125376,0.206298428,0.332578534,0.206298428,0.603147646,0.801573039,0.40539468,0.874998518,0.973721442,0.603147646,0.975196336,0.998449746
